STAT;LAT;LONG;h;WEEK
NARA;17.2267617919354;-90.8100018888324;73.3847589092329;1884
NAS0;25.0525395271967;-77.462257628074;-21.2579757589847;2204
NAUR;-0.551726827680153;166.925541657553;46.2351302858442;2088
NAUS;-3.02291716753626;-60.0550172973881;93.881451131776;2250
NEIA;-25.020236744159;-47.9249691972587;6.07393351662904;2250
NEIL;8.64435506868453;-82.9443887316737;66.5338708460331;2250
NESA;-40.1053910518275;-64.4540059682662;83.102862322703;2250
NEVA;2.93730225569746;-75.2930315916736;472.686764113605;2231
NIST;39.995066325619;-105.262607179792;1648.35955211427;2250
NJEC;-2.67516120986204;-79.6208488807065;51.3426034990698;2250
NKLG;0.353909617299964;9.67212870959955;31.4854752449319;2250
NLIB;41.7715908175866;-91.5748986955863;206.957849875093;2250
NOT1;36.8758474181966;14.9897913863836;126.319411070086;2190
NRIL;69.3618330136619;88.3597903202217;47.9381666248664;2190
NYA1;78.9295570260096;11.8653176352485;84.3858693484217;2190
NYAL;78.9295869742869;11.865094447134;78.657873515971;2190
NYCO;10.1440074869296;-85.4550111111574;155.566998652183;2250
OAFA;-31.5086816216248;-68.6232691301867;727.377781556919;2250
OAX2;17.0783393691714;-96.7167403768534;1607.24756689928;2250
OBRA;-27.4736110620462;-55.1302824488765;284.682147839107;2250
OHI2;-63.3210795140585;-57.9013271299682;32.5059075234458;2250
OHI3;-63.3210909235951;-57.9013804520904;32.6475005932152;2243
OHIG;-63.3207229948199;-57.9003395258044;30.6702317930758;1154
ONEC;-0.697348831103903;-80.1015068081831;41.1061581876129;2245
ONRJ;-22.8956980028079;-43.2243324909831;35.619443051517;2250
ONSA;57.3953011486457;11.9255222200978;45.6253148876131;2190
OSOR;-40.597244277117;-73.1036176581208;84.3894464969635;2128
OURI;-22.9491719261211;-49.8950414176865;444.821052526124;1939
P012;38.0974318751049;-109.33383833715;1788.48470203858;2250
P043;43.8811449158408;-104.185705854468;1490.92212918401;2250
P051;45.8066000531518;-108.546148022104;1081.07876060158;2250
P053;48.7260791115474;-107.725422871041;814.967043364421;2250
P389;43.8119912265051;-120.603363777862;1397.43586296029;2250
P777;35.7026598982015;-92.5454746063613;335.371725167148;2250
P802;46.5575512939605;-100.623413398408;572.350428139791;2250
PAAR;-3.21167427623257;-52.2127637120912;94.1450345842168;2250
PAAT;-3.20098106378781;-52.1813079789251;162.542375278659;1966
